licensee,service,link_mode,band,assignment_count,min_frequency_mhz,max_frequency_mhz
ENTELAR GROUP LIMITED,Land Mobile,Simplex,VHF (30-300 MHz),4,165.8375,170.775
ENVIRONMENT CANTERBURY,Maritime,Repeater,VHF (30-300 MHz),4,160.7,160.875
ENVIRONMENT CANTERBURY,Maritime,Mobile Transmit,VHF (30-300 MHz),4,156.1,156.275
ENVIRONMENT SOUTHLAND,Fixed Link,Bi-directional,UHF (300 MHz-3 GHz),4,421.2125,459.7125
ENZA  LTD,Land Mobile,Simplex,UHF (300 MHz-3 GHz),4,453.3063,458.4813
EPWORTH CORPORATION LIMITED,Fixed Link,Bi-directional,SHF (3-30 GHz),4,10715.0,11445.0
EUROCELL WOOD PRODUCTS LIMITED,Land Mobile,Simplex,UHF (300 MHz-3 GHz),4,449.9563,466.9688
EVERY PERSON,General User Licence,Unspecified,LF (30-300 kHz),4,0.0495,0.16
EVOLUTION WIRELESS LIMITED,Fixed Link,Bi-directional,EHF (>30 GHz),4,72875.0,84750.0
FIORDLAND FISHERMANS RADIO ASSOCIATION,Fixed Link,Bi-directional,UHF (300 MHz-3 GHz),4,453.65,459.5875
FIRST GAS LIMITED,Fixed Link,Uni-directional,UHF (300 MHz-3 GHz),4,449.7313,450.1625
FIRST GAS LIMITED,Land Mobile,Simplex,UHF (300 MHz-3 GHz),4,455.1813,465.1188
FIRST GAS LIMITED,Land Mobile,Mobile Transmit,VHF (30-300 MHz),4,153.7563,167.375
FIRST GAS LIMITED,Land Mobile,Repeater,VHF (30-300 MHz),4,151.975,162.775
FONTERRA CO-OPERATIVE GROUP,Land Mobile,Simplex,UHF (300 MHz-3 GHz),4,449.9813,466.9688
FONTERRA CO-OPERATIVE GROUP,Paging,Unspecified,VHF (30-300 MHz),4,40.68,160.5125
FONTERRA CO-OPERATIVE GROUP LIMITED,Telemetry & Telecommand,Uni-directional,UHF (300 MHz-3 GHz),4,466.8375,466.8375
FONTERRA LIMITED,Land Mobile,Repeater,UHF (300 MHz-3 GHz),4,457.8063,463.1438
FONTERRA LIMITED,Land Mobile,Mobile Transmit,UHF (300 MHz-3 GHz),4,452.7688,468.3313
FOREST LOADERS LTD,Land Mobile,Simplex,VHF (30-300 MHz),4,150.325,150.8
FOREST360 LIMITED,Land Mobile,Simplex,UHF (300 MHz-3 GHz),4,453.3938,461.5563
FOX FRANZ HELISERVICES LIMITED,Aeronautical,Base Station,VHF (30-300 MHz),4,118.6,119.1
FPNZ LIMITED,Land Mobile,Simplex,VHF (30-300 MHz),4,150.2875,153.5313
FROTANET LIMITED,Land Mobile,Mobile Transmit,VHF (30-300 MHz),4,155.7688,169.6
FROTANET LIMITED,Land Mobile,Repeater,VHF (30-300 MHz),4,151.5875,165.0
FULTON HOGAN LIMITED,Land Mobile,Repeater,UHF (300 MHz-3 GHz),4,455.5688,464.5188
Fire and Emergency New Zealand,Fixed Link,Bi-directional,UHF (300 MHz-3 GHz),4,453.6438,458.6813
Fire and Emergency New Zealand,Land Mobile,Mobile Transmit,VHF (30-300 MHz),4,140.2125,140.25
GASKELL CONTRACTING LTD,Land Mobile,Simplex,UHF (300 MHz-3 GHz),4,464.8438,466.9938
GIBBONS HOLDINGS LIMITED,Land Mobile,Simplex,VHF (30-300 MHz),4,170.3875,171.6375
GISBORNE AMATEUR RADIO CLUB INC,Amateur,Repeater,VHF (30-300 MHz),4,144.575,146.9
GLOBAL COMMUNICATION SYSTEMS LIMITED,Land Mobile,Simplex,VHF (30-300 MHz),4,150.2,150.275
GLOBAL FILM SOLUTIONS LIMITED,Land Mobile,Simplex,UHF (300 MHz-3 GHz),4,483.9188,489.5438
GO TRAFFIC MANAGEMENT SERVICES LIMITED,Land Mobile,Simplex,VHF (30-300 MHz),4,166.2125,171.425
GOLDEN BAY CEMENT,Land Mobile,Simplex,UHF (300 MHz-3 GHz),4,458.6438,461.5313
GOLDPINE INDUSTRIES LTD,Land Mobile,Simplex,VHF (30-300 MHz),4,150.5875,165.875
GOODWIN PILOTING SERVICES LIMITED,Land Mobile,Simplex,VHF (30-300 MHz),4,150.925,172.8875
GRAYMONT (NZ) LIMITED,Land Mobile,Mobile Transmit,UHF (300 MHz-3 GHz),4,450.5813,453.0688
GRAYMONT (NZ) LIMITED,Land Mobile,Repeater,UHF (300 MHz-3 GHz),4,455.6188,458.1063
GREAT EAGLE HOTELS (AUCKLAND LIMITED),Land Mobile,Simplex,UHF (300 MHz-3 GHz),4,454.9813,466.6813
GREENCYCLE LIMITED,Land Mobile,Simplex,UHF (300 MHz-3 GHz),4,449.9313,453.4813
GREENLEA PREMIER MEATS LTD,Land Mobile,Simplex,UHF (300 MHz-3 GHz),4,458.4938,466.8938
H & H CONTRACTORS LIMITED,Land Mobile,Simplex,UHF (300 MHz-3 GHz),4,476.1188,477.8563
HABITAT NZ LIMITED,Land Mobile,Simplex,VHF (30-300 MHz),4,166.05,166.775
HACKETT AJ BUNGY,Land Mobile,Simplex,VHF (30-300 MHz),4,150.15,153.5563
HALLENSTEIN GLASSON HOLDINGS LIMITED,Land Mobile,Simplex,UHF (300 MHz-3 GHz),4,458.4438,466.8688
HAMILTON CITY COUNCIL (WAIKATO EVENTS CENTRE),Land Mobile,Simplex,UHF (300 MHz-3 GHz),4,453.3813,466.6938
HASTINGS DISTRICT COUNCIL,Land Mobile,Simplex,UHF (300 MHz-3 GHz),4,453.5188,482.1688
HATUMA LIME CO LTD,Land Mobile,Simplex,VHF (30-300 MHz),4,150.1,153.5563
HAWKES BAY DISTRICT HEALTH BOARD,Land Mobile,Simplex,UHF (300 MHz-3 GHz),4,449.9938,458.3688
HAWKES BAY VOLUNTEER COAST GUARD INC,Maritime,Unspecified,MF (300 kHz-3 MHz),4,2.0464,2.4814
HEALTHALLIANCE N.Z. LIMITED,Land Mobile,Repeater,UHF (300 MHz-3 GHz),4,463.9688,481.4188
HEALTHALLIANCE N.Z. LIMITED,Land Mobile,Mobile Transmit,UHF (300 MHz-3 GHz),4,469.1563,475.4313
HELENA BAY HOLDINGS LIMITED,Land Mobile,Repeater,UHF (300 MHz-3 GHz),4,463.0938,484.3688
HELENA BAY HOLDINGS LIMITED,Land Mobile,Mobile Transmit,UHF (300 MHz-3 GHz),4,468.2813,490.3813
HELI RESOURCES 2012 LIMITED,Telemetry & Telecommand,Uni-directional,UHF (300 MHz-3 GHz),4,471.6,476.275
HELICOPTER CHARTER NELSON LTD,Land Mobile,Simplex,VHF (30-300 MHz),4,165.8625,165.8625
HELICOPTER SERVICES BOP LTD,Aeronautical,Base Station,VHF (30-300 MHz),4,132.75,135.7063
HEXION (N.Z.) LIMITED,Land Mobile,Simplex,UHF (300 MHz-3 GHz),4,453.4938,465.1188
HI-LIFT CRANES,Land Mobile,Simplex,UHF (300 MHz-3 GHz),4,471.7313,489.3688
HONEYWELL LIMITED,Land Mobile,Mobile Transmit,UHF (300 MHz-3 GHz),4,467.0313,469.7313
HONEYWELL LIMITED,Land Mobile,Repeater,UHF (300 MHz-3 GHz),4,461.8438,464.5438
HORIZON ENERGY GROUP LIMITED,Fixed Link,Bi-directional,VHF (30-300 MHz),4,162.3438,166.9938
HT KING LOGGING LIMITED,Land Mobile,Simplex,VHF (30-300 MHz),4,165.7375,165.825
HUME PINE (NZ) LTD,Land Mobile,Simplex,UHF (300 MHz-3 GHz),4,470.7563,482.5688
HURUNUI DISTRICT COUNCIL,Fixed Link,Bi-directional,UHF (300 MHz-3 GHz),4,443.775,448.8813
HUTT VALLEY DHB,Paging,Unspecified,VHF (30-300 MHz),4,31.375,160.5875
HYBRID TECHNOLOGIES LIMITED,Fixed Link,Bi-directional,SHF (3-30 GHz),4,18360.0,19590.0
IAN ROEBUCK CRANE HIRE LTD,Land Mobile,Simplex,UHF (300 MHz-3 GHz),4,449.9688,458.6438
IGNITION NETWORKS LIMITED,Land Mobile,Simplex,MF (300 kHz-3 MHz),4,2.7034,2.7034
INFLITE SKI PLANES LIMITED,Land Mobile,Simplex,VHF (30-300 MHz),4,150.875,150.875
INTEGRATED FOODS LIMITED,Land Mobile,Mobile Transmit,VHF (30-300 MHz),4,154.5188,155.6563
INTEGRATED FOODS LIMITED,Land Mobile,Repeater,VHF (30-300 MHz),4,151.475,153.2656
INVERCARGILL AIRPORT LIMITED,Land Mobile,Simplex,UHF (300 MHz-3 GHz),4,476.3938,477.7063
INVERCARGILL CITY COUNCIL,Land Mobile,Mobile Transmit,UHF (300 MHz-3 GHz),4,453.0844,468.1875
INVERCARGILL CITY COUNCIL,Land Mobile,Repeater,UHF (300 MHz-3 GHz),4,458.1219,463.0
ISO LIMITED,Land Mobile,Mobile Transmit,UHF (300 MHz-3 GHz),4,472.0063,492.7188
ISO LIMITED,Land Mobile,Repeater,UHF (300 MHz-3 GHz),4,477.9938,486.7063
J B Valentine,Broadcasting,Unspecified,VHF (30-300 MHz),4,88.6,106.2
J D RIGGING SERVICES LIMITED,Land Mobile,Simplex,UHF (300 MHz-3 GHz),4,482.4563,489.9688
J P MCLEAN,Land Mobile,Simplex,VHF (30-300 MHz),4,84.475,150.875
JETSTAR AIRWAYS PTY LTD,Aeronautical,Base Station,VHF (30-300 MHz),4,130.125,131.95
JOHN TURKINGTON LIMITED,Land Mobile,Simplex,VHF (30-300 MHz),4,150.3375,153.5938
JOHNSON CONTRACTORS LIMITED,Land Mobile,Simplex,UHF (300 MHz-3 GHz),4,482.2063,483.5938
JUKEN NEW ZEALAND LTD,Fixed Link,Bi-directional,UHF (300 MHz-3 GHz),4,453.775,459.5375
Jerry Carillo,Land Mobile,Simplex,UHF (300 MHz-3 GHz),4,458.4313,461.7688
K B ENVIRONMENTAL SERVICES LIMITED,Land Mobile,Simplex,VHF (30-300 MHz),4,150.3375,153.5563
K J EGGELING,Maritime,Unspecified,MF (300 kHz-3 MHz),4,2.0464,2.4814
K&S BEARD LOGGING LTD,Land Mobile,Simplex,VHF (30-300 MHz),4,170.525,173.9438
KAIKŌURA HURUNUI WATER SERVICES LIMITED,Fixed Link,Bi-directional,UHF (300 MHz-3 GHz),4,443.575,448.6813
KAINGAROA ROADING CONTRACTORS LTD,Land Mobile,Simplex,VHF (30-300 MHz),4,150.6875,153.5563
KAIPARA LIMITED,Land Mobile,Mobile Transmit,VHF (30-300 MHz),4,167.2875,168.3
KAIPARA LIMITED,Land Mobile,Repeater,VHF (30-300 MHz),4,162.6875,163.7
KEA AEROSPACE LIMITED,Land Mobile,Simplex,UHF (300 MHz-3 GHz),4,483.9438,2441.75
KIMBERLY CONTRACTORS 2014 LIMITED,Land Mobile,Simplex,VHF (30-300 MHz),4,165.8,170.7875
KORDIA LIMITED,Land Mobile,Mobile Transmit,VHF (30-300 MHz),4,155.4563,168.7625
KORDIA LIMITED,Land Mobile,Repeater,VHF (30-300 MHz),4,151.275,164.1625
LAND MEAT NEW ZEALAND LIMITED,Land Mobile,Simplex,UHF (300 MHz-3 GHz),4,449.9313,455.1688
LIFE PHARMACY QUEENSTOWN LIMITED,Land Mobile,Simplex,UHF (300 MHz-3 GHz),4,458.3813,461.6438
LIGHTSPEED TECHNOLOGY GROUP LIMITED,Land Mobile,Simplex,UHF (300 MHz-3 GHz),4,477.6313,482.2063
LIQUIGAS LTD,Fixed Link,Bi-directional,UHF (300 MHz-3 GHz),4,421.5125,459.7375
LIQUIGAS NZ LTD,Fixed Link,Bi-directional,UHF (300 MHz-3 GHz),4,420.2875,425.625
LIVESTOCK IMPROVEMENT CORPORATION LTD,Land Mobile,Repeater,UHF (300 MHz-3 GHz),4,463.2313,479.9063
LIVESTOCK IMPROVEMENT CORPORATION LTD,Land Mobile,Mobile Transmit,UHF (300 MHz-3 GHz),4,468.4188,473.9188
LOG MARKETING NEW ZEALAND LIMITED,Land Mobile,Simplex,VHF (30-300 MHz),4,150.1875,150.8125
LYTTELTON PORT COMPANY LIMITED,Fixed Link,Bi-directional,UHF (300 MHz-3 GHz),4,454.15,459.5625
M S BARNES,Land Mobile,Simplex,VHF (30-300 MHz),4,150.2125,166.275
MACQUARIE ASSET MANAGEMENT (NZ) LIMITED,Land Mobile,Mobile Transmit,UHF (300 MHz-3 GHz),4,472.4188,473.2063
MACQUARIE ASSET MANAGEMENT (NZ) LIMITED,Land Mobile,Repeater,UHF (300 MHz-3 GHz),4,478.4063,479.1938
MAGNESS SOUND LIMITED,Land Mobile,Simplex,UHF (300 MHz-3 GHz),4,458.4813,461.5813
MANAWATU AMATEUR RADIO SOCIETY INCORPORATED,Amateur,Repeater,VHF (30-300 MHz),4,144.575,147.125
MANAWATU AMATEUR RADIO SOCIETY INCORPORATED,Amateur,Repeater,UHF (300 MHz-3 GHz),4,438.525,439.7125
MANAWATU COMMUNICATIONS LIMITED,Land Mobile,Mobile Transmit,VHF (30-300 MHz),4,153.7688,167.5
MANAWATU COMMUNICATIONS LIMITED,Land Mobile,Repeater,VHF (30-300 MHz),4,151.0375,162.9
MARITIME NEW ZEALAND,Maritime,Unspecified,MF (300 kHz-3 MHz),4,2.1745,2.2084
MARLEY NEW ZEALAND LTD,Land Mobile,Simplex,UHF (300 MHz-3 GHz),4,461.6688,466.9813
MASTERTON DISTRICT COUNCIL,Land Mobile,Simplex,HF (3-30 MHz),4,3.3554,5.3874
MASTERTON DISTRICT COUNCIL,Land Mobile,Repeater,VHF (30-300 MHz),4,162.7125,162.8375
MASTERTON DISTRICT COUNCIL,Land Mobile,Mobile Transmit,VHF (30-300 MHz),4,167.3125,167.4375
MATAMATA PIAKO DISTRICT COUNCIL,Telemetry & Telecommand,Uni-directional,VHF (30-300 MHz),4,160.1875,160.1875
MCALPINES TIMBER LIMITED,Land Mobile,Simplex,UHF (300 MHz-3 GHz),4,470.8063,489.0813
MCINTOSH CRANES LIMITED,Land Mobile,Simplex,UHF (300 MHz-3 GHz),4,458.3563,458.6563
MCINTYRE CONSTRUCTION LIMITED,Land Mobile,Simplex,VHF (30-300 MHz),4,150.175,150.575
MERRILL & RING NEW ZEALAND LIMITED,Land Mobile,Simplex,VHF (30-300 MHz),4,150.6125,166.75
METEOROLOGICAL SERVICE OF NEW ZEALAND LIMITED,Aeronautical,Base Station,VHF (30-300 MHz),4,121.0,134.8
METEOROLOGICAL SERVICE OF NEW ZEALAND LIMITED,Fixed Link,Uni-directional,UHF (300 MHz-3 GHz),4,449.3813,449.4063
MILLBROOK COUNTRY CLUB LIMITED,Land Mobile,Simplex,UHF (300 MHz-3 GHz),4,453.3813,458.5063
MLC GROUP LIMITED,Land Mobile,Simplex,UHF (300 MHz-3 GHz),4,470.7563,476.3938
MOBIL OIL NEW ZEALAND LIMITED,Fixed Link,Uni-directional,UHF (300 MHz-3 GHz),4,450.0125,465.2125
MOBILE SYSTEMS LIMITED,Land Mobile,Simplex,VHF (30-300 MHz),4,150.875,170.375
MOREPORK FOREST HARVESTING LIMITED,Land Mobile,Simplex,VHF (30-300 MHz),4,166.575,171.7
MOUNT CAMPBELL CONNECT LIMITED,Fixed Link,Bi-directional,SHF (3-30 GHz),4,7895.95,15159.0
MOUNT CAMPBELL CONNECT LIMITED,Land Mobile,Simplex,VHF (30-300 MHz),4,165.9375,165.95
MOVE SPECIALIST LIFTING & TRANSPORT LIMITED,Land Mobile,Simplex,UHF (300 MHz-3 GHz),4,458.4313,466.9938
Mathew Baranow,Land Mobile,Simplex,UHF (300 MHz-3 GHz),4,470.7688,477.6063
Matthew Shelton,Land Mobile,Simplex,UHF (300 MHz-3 GHz),4,453.3188,455.2063
Michael Bowen,Land Mobile,Simplex,UHF (300 MHz-3 GHz),4,458.6438,464.9938
NASSER HONEYCOMBE,Land Mobile,Simplex,VHF (30-300 MHz),4,150.0875,153.5563
NAVICOM DYNAMICS LIMITED,Land Mobile,Simplex,UHF (300 MHz-3 GHz),4,453.3188,476.2688
NELSPECS LIMITED,Fixed Link,Bi-directional,SHF (3-30 GHz),4,10935.0,11625.0
NETCOM SERVICES LIMITED,Land Mobile,Simplex,VHF (30-300 MHz),4,150.2375,166.7625
NEW ZEALAND CUSTOMS SERVICE(NATIONAL MANAGER BORDER OPERATIONS),Maritime,Unspecified,MF (300 kHz-3 MHz),4,2.0134,2.1834
NEW ZEALAND CUSTOMS SERVICE(NATIONAL MANAGER BORDER OPERATIONS),Maritime,Unspecified,HF (3-30 MHz),4,3.3074,4.9624
NEW ZEALAND HEALTH ASSOCIATION LIMITED,Land Mobile,Simplex,UHF (300 MHz-3 GHz),4,488.2688,489.8938
NEW ZEALAND INSTITUTE FOR EARTH SCIENCE LIMITED,Satellite & Space,Unspecified,SHF (3-30 GHz),4,7812.0,8212.5
NEW ZEALAND OIL SERVICES LIMITED,Land Mobile,Repeater,UHF (300 MHz-3 GHz),4,455.4188,478.5313
NEW ZEALAND OIL SERVICES LIMITED,Land Mobile,Mobile Transmit,UHF (300 MHz-3 GHz),4,450.3813,472.5438
NEW ZEALAND SKILLS AND EDUCATION GROUP LIMITED,Land Mobile,Simplex,UHF (300 MHz-3 GHz),4,458.3438,465.1188
NGA KAITIAKI I TE REO WHAKAPAOHO O TE HIKU O TE IKA,Fixed Link,Uni-directional,UHF (300 MHz-3 GHz),4,850.75,918.875
NGA WATENE MAORI O TE ROHE POTAE REGIONAL ASSOCIATION INCORPORATED,Land Mobile,Simplex,UHF (300 MHz-3 GHz),4,455.1063,466.8688
NORTHPORT LIMITED,Fixed Link,Bi-directional,UHF (300 MHz-3 GHz),4,420.0125,458.675
NZ DEFENCE FORCE HEADQUARTERS,Radiodetermination,Beacon,UHF (300 MHz-3 GHz),4,330.2,331.7
NZ DEFENCE FORCE HEADQUARTERS,Telemetry & Telecommand,Uni-directional,VHF (30-300 MHz),4,160.2375,160.2375
NZART CHRISTCHURCH BRANCH 05 INC,Amateur,Repeater,VHF (30-300 MHz),4,144.575,147.275
NZART TAUPO BRANCH,Amateur,Repeater,VHF (30-300 MHz),4,144.575,147.85
NZFM (2022) LIMITED PARTNERSHIP,Land Mobile,Repeater,VHF (30-300 MHz),4,151.9125,163.0125
NZFM (2022) LIMITED PARTNERSHIP,Land Mobile,Mobile Transmit,VHF (30-300 MHz),4,153.6938,167.6125
NZME RADIO LIMITED,Fixed Link,Bi-directional,EHF (>30 GHz),4,38052.0,39340.0
New Plymouth District Council,Fixed Link,Bi-directional,UHF (300 MHz-3 GHz),4,440.025,459.0688
New Zealand Transport,Land Mobile,Simplex,UHF (300 MHz-3 GHz),4,482.7563,483.9688
New Zealand Transport Agency,Fixed Link,Bi-directional,UHF (300 MHz-3 GHz),4,453.7063,458.7563
O & K GLYNN TRANSPORT LIMITED,Land Mobile,Simplex,VHF (30-300 MHz),4,153.5313,166.4125
OCEANA GOLD (NEW ZEALAND) LIMITED,Fixed Link,Bi-directional,VHF (30-300 MHz),4,158.3,161.2
OCEANIA DAIRY LIMITED,Land Mobile,Mobile Transmit,UHF (300 MHz-3 GHz),4,467.7563,468.0563
OCEANIA DAIRY LIMITED,Land Mobile,Repeater,UHF (300 MHz-3 GHz),4,462.5688,462.8688
OMV NEW ZEALAND LIMITED,Radiodetermination,Beacon,MF (300 kHz-3 MHz),4,0.338,0.406
OPIE CONTRACTORS LIMITED,Land Mobile,Simplex,UHF (300 MHz-3 GHz),4,455.1688,466.9563
ORION NEW ZEALAND LTD,Land Mobile,Simplex,UHF (300 MHz-3 GHz),4,455.1563,458.4188
OTAGO MARITIME V H F ASSOCIATION INCORPORATED,Maritime,Repeater,VHF (30-300 MHz),4,160.625,160.925
OTAGO MARITIME V H F ASSOCIATION INCORPORATED,Maritime,Mobile Transmit,VHF (30-300 MHz),4,156.025,156.325
PAGE & MACRAE LIMITED,Land Mobile,Simplex,UHF (300 MHz-3 GHz),4,477.9188,489.8188
PALMERSTON NORTH CITY COUNCIL,Fixed Link,Bi-directional,SHF (3-30 GHz),4,18415.0,19590.0
PALMERSTON NORTH CITY COUNCIL,Land Mobile,Repeater,VHF (30-300 MHz),4,162.7625,165.275
PALMERSTON NORTH CITY COUNCIL,Land Mobile,Mobile Transmit,VHF (30-300 MHz),4,167.3625,169.875
PARAPARAUMU ENGINEERING LIMITED,Land Mobile,Simplex,UHF (300 MHz-3 GHz),4,458.3688,464.8688
PASSAGE GUARDIAN CHARITABLE TRUST,Maritime,Unspecified,MF (300 kHz-3 MHz),4,2.0464,2.4454
PJ & MJ OLSEN LTD,Land Mobile,Simplex,VHF (30-300 MHz),4,150.1375,150.9875
PORT OF TAURANGA LIMITED,Fixed Link,Bi-directional,UHF (300 MHz-3 GHz),4,454.6438,459.6813
PORT TARANAKI LIMITED,Maritime,Unspecified,MF (300 kHz-3 MHz),4,2.0134,2.1834
POWERCO LIMITED,Telemetry & Telecommand,Uni-directional,VHF (30-300 MHz),4,160.1875,160.1875
PRESTIGE CRANES LIMITED,Land Mobile,Simplex,UHF (300 MHz-3 GHz),4,471.7188,477.9063
PROLIFE FOODS LIMITED,Land Mobile,Simplex,VHF (30-300 MHz),4,150.15,150.65
PTS LOGISTICS LIMITED,Land Mobile,Simplex,VHF (30-300 MHz),4,165.9125,171.825
PURE TUROA LIMITED,Fixed Link,Bi-directional,SHF (3-30 GHz),4,11135.0,15215.0
Parekama Farm Partnership,Land Mobile,Simplex,UHF (300 MHz-3 GHz),4,453.4063,455.0688
PowerNet OTAGONET,Land Mobile,Simplex,VHF (30-300 MHz),4,165.7125,170.85
QUEENSTOWN AIRPORT CORPORATION LTD,Land Mobile,Mobile Transmit,UHF (300 MHz-3 GHz),4,450.3688,467.0188
QUEENSTOWN AIRPORT CORPORATION LTD,Land Mobile,Repeater,UHF (300 MHz-3 GHz),4,455.4063,461.8313
R D TOTTENHAM,Land Mobile,Repeater,VHF (30-300 MHz),4,81.0875,83.025
R D TOTTENHAM,Land Mobile,Mobile Transmit,VHF (30-300 MHz),4,85.0563,86.9938
R S CABLING LIMITED,Land Mobile,Simplex,VHF (30-300 MHz),4,166.4,171.7
RADIO NGATI POROU CHARITABLE TRUST,Fixed Link,Uni-directional,UHF (300 MHz-3 GHz),4,843.625,931.25
RAINBOWS END,Land Mobile,Simplex,UHF (300 MHz-3 GHz),4,458.6438,461.7188
RALPH SCHULTZ HELICOPTERS LIMITED,Aeronautical,Base Station,VHF (30-300 MHz),4,132.625,132.875
RALPH SCHULTZ HELICOPTERS LIMITED,Land Mobile,Simplex,VHF (30-300 MHz),4,150.175,150.3125
RCC SYSTEMS LIMITED,Land Mobile,Simplex,VHF (30-300 MHz),4,166.3125,171.2125
RIEDEL COMMUNICATIONS AUSTRALIA PTY LTD,Land Mobile,Mobile Transmit,UHF (300 MHz-3 GHz),4,474.0938,474.3563
RIGHT KARTS (2016) LIMITED,Land Mobile,Simplex,UHF (300 MHz-3 GHz),4,476.3188,476.3938
RIVER CITY PORT LIMITED,Maritime,Unspecified,MF (300 kHz-3 MHz),4,2.0134,2.1834
ROCKET LAB LIMITED,Meteorological,Unspecified,UHF (300 MHz-3 GHz),4,400.3,401.6
ROTORUA DISTRICT COUNCIL (Events & Venues),Land Mobile,Simplex,UHF (300 MHz-3 GHz),4,476.1313,477.5938
RUAPEHU DISTRICT COUNCIL,Land Mobile,Mobile Transmit,UHF (300 MHz-3 GHz),4,451.5063,490.8063
RUAPEHU DISTRICT COUNCIL,Land Mobile,Repeater,UHF (300 MHz-3 GHz),4,456.5438,484.7938
RURAL CONNECTIVITY GROUP LIMITED,Spectrum Licence,Unspecified,SHF (3-30 GHz),4,3500.0,3760.0
Reuben Anthony Hector,Land Mobile,Simplex,UHF (300 MHz-3 GHz),4,453.3313,458.6563
Russell Fricker,Land Mobile,Simplex,UHF (300 MHz-3 GHz),4,470.7438,482.7188
S K LOW,Land Mobile,Simplex,UHF (300 MHz-3 GHz),4,455.0313,461.5938
SCENIC CIRCLE HOTELS LIMITED,Land Mobile,Simplex,UHF (300 MHz-3 GHz),4,477.8563,488.2438
SELWYN WATER LIMITED,Fixed Link,Bi-directional,UHF (300 MHz-3 GHz),4,442.0375,447.2438
SERCO NEW ZEALAND LIMITED,Land Mobile,Mobile Transmit,UHF (300 MHz-3 GHz),4,450.3688,451.3188
SERCO NEW ZEALAND LIMITED,Land Mobile,Repeater,UHF (300 MHz-3 GHz),4,455.4063,456.3563
SKYLINE NETWORKS NZ LIMITED,Fixed Link,Bi-directional,EHF (>30 GHz),4,72250.0,82250.0
SKYLINE NETWORKS NZ LIMITED,Fixed Link,Bi-directional,SHF (3-30 GHz),4,18360.0,19480.0
SKYLINE SKYRIDES LIMITED,Land Mobile,Simplex,UHF (300 MHz-3 GHz),4,464.9688,465.0063
SKYWORK HELICOPTERS LTD,Land Mobile,Simplex,VHF (30-300 MHz),4,150.3125,150.6875
SOUTH PACIFIC MEATS LIMITED,Land Mobile,Simplex,UHF (300 MHz-3 GHz),4,453.3813,458.4188
SOUTH PACIFIC PICTURES LIMITED,Land Mobile,Simplex,UHF (300 MHz-3 GHz),4,453.3438,466.7188
SOUTH PORT NEW ZEALAND LIMITED,Fixed Link,Bi-directional,UHF (300 MHz-3 GHz),4,453.8938,459.3688
SOUTH WAIKATO DISTRICT COUNCIL,Land Mobile,Simplex,UHF (300 MHz-3 GHz),4,482.8063,483.1313
SOUTHERN HEMISPHERE PROVING GROUNDS LIMITED,Land Mobile,Simplex,UHF (300 MHz-3 GHz),4,461.7813,471.5813
SOUTHLAND HELICOPTERS LIMITED,Land Mobile,Simplex,VHF (30-300 MHz),4,150.2375,150.925
SOUTHLAND MARITIME VHF USERS ASSOCIATION INC,Fixed Link,Bi-directional,UHF (300 MHz-3 GHz),4,450.1375,450.1375
SPARTAN CONSTRUCTION LIMITED,Land Mobile,Simplex,UHF (300 MHz-3 GHz),4,471.7313,477.9188
SPECTRATECH LIMITED,Land Mobile,Simplex,VHF (30-300 MHz),4,150.4,166.675
STEVENSON CONCRETE LIMITED,Land Mobile,Simplex,UHF (300 MHz-3 GHz),4,476.2938,481.9938
STRAITNZ BLUEBRIDGE LIMITED,Land Mobile,Simplex,UHF (300 MHz-3 GHz),4,458.4563,466.8688
SUMMIT FORESTS NEW ZEALAND LIMITED,Land Mobile,Mobile Transmit,VHF (30-300 MHz),4,154.0688,154.3813
SUMMIT FORESTS NEW ZEALAND LIMITED,Land Mobile,Repeater,VHF (30-300 MHz),4,152.2875,152.6
SUMNER LIFEBOAT INST INC,Maritime,Unspecified,MF (300 kHz-3 MHz),4,2.0464,2.4454
SUNFRUIT LIMITED,Land Mobile,Simplex,UHF (300 MHz-3 GHz),4,482.0563,488.2938
South Taranaki Branch 87  NZART (Inc),Amateur,Mobile Transmit,VHF (30-300 MHz),4,144.8,147.65
South Taranaki Branch 87  NZART (Inc),Amateur,Repeater,VHF (30-300 MHz),4,144.8,147.65
TASMAN DISTRICT COUNCIL,Fixed Link,Bi-directional,UHF (300 MHz-3 GHz),4,420.8125,446.3188
TASMAN FOREST SERVICES LIMITED,Land Mobile,Simplex,VHF (30-300 MHz),4,150.3375,150.8125
TASMAN PINE FORESTS LIMITED,Land Mobile,Simplex,VHF (30-300 MHz),4,150.8,153.5438
TAYLOR CORPORATION (1995) LIMITED,Land Mobile,Simplex,VHF (30-300 MHz),4,150.275,150.5875
TE RUNANGANUI O TE ARAWA,Broadcasting,Unspecified,VHF (30-300 MHz),4,88.7,93.9
TE WHAKAKITENGA O WAIKATO INCORPORATED,Broadcasting,Unspecified,VHF (30-300 MHz),4,95.4,106.4
TE WHARE AWHINA O TE IWI COMMUNITY TRUST,Broadcasting,Unspecified,VHF (30-300 MHz),4,97.2,105.3
TECHNICAL EVENT SOLUTIONS LIMITED,Land Mobile,Simplex,UHF (300 MHz-3 GHz),4,477.5563,483.6563
TEGEL FOODS LIMITED,Land Mobile,Simplex,UHF (300 MHz-3 GHz),4,453.4938,482.5438
